x,y
1,12957.33
2,5409.34
3,4186.94
4,6355.95
5,8779.15
6,1919.84
7,7770.68
8,3029.48
9,2787.11
10,4287.85
11,3269.75
12,3210.1
13,2576.57
14,4231.35
15,2501.33
16,2931.93
17,7691.31
18,4093.77
19,3777.28
20,1470.36
21,3891.08
22,7571.88
23,4327.06
24,4376.9
25,2839.94
26,2263.19
27,3217.17
28,3352.15
29,3833.04
30,5189.49
31,2846.58
32,5393.35
33,4582.68
34,7983.05
35,7394.57
36,8053.06
37,1823.05
38,2051.9
39,7044.82
40,5044.48
41,1614.41
42,2323.1
43,4883.1
44,8539.65
45,3993.95
46,5935.36
47,2116.49
48,3182.59
49,6634.92
50,4460.44
51,6355.05
52,7598.19
53,3151.33
54,8035.47
55,2759.3
56,3398.64
57,2453.91
58,2536.11
59,5799.99
60,2978.83
61,2016.84
62,6093.64
63,2818.11
64,8178.26
65,3551.71
66,3337.55
67,2591.38
68,2939.6
69,2065.36
70,2270.95
71,1692.57
72,3509.54
73,2373.84
74,5241.56
75,7076.58
76,4922.32
77,4158.42
78,7001.82
79,4505.46
80,5035.23
81,2871.6
82,8108.41
83,2876.1
84,7130.07
85,8140.48
86,6726.19
87,3342.39
88,6524.24
89,3037.84
90,2274.76
91,2413.76
92,4134.61
93,5295.86
94,1821.11
95,2809.21
96,5292.43
97,7640.34
98,6515.95
99,2042.34
100,1703.28
