x,@duration
674,11300.69
675,6339.37
676,7191.61
677,3677.29
678,4268.16
679,2271.09
680,3931.29
681,2507.86
682,3376.9
683,7775.69
684,2591.17
685,2668.49
686,4470.39
687,2697.19
688,1698.19
689,4556.53
690,4173.53
691,5544.15
692,3403.32
693,6607.39
694,2868.73
695,1734.98
696,2010.84
697,4073.08
698,8282.43
699,2420.63
700,2784.51
701,8357.38
702,7368.22
703,3410.9
704,2758.53
705,4758.79
706,5383.73
707,4501.93
708,2498.35
709,5545.79
710,5612.4
711,1857.42
712,6932.46
713,7212.67
714,2606.9
715,7912.56
716,7415.97
717,4552.3
718,3345
719,4614.82
720,3075.17
721,2213.29
722,1762.58
723,2707.28
724,2698.92
725,7022.19
726,3933.48
727,3080.01
728,7809.35
729,4721.12
730,2491.08
731,2570.55
732,7302.52
733,5784.45
734,4381.52
735,7065.02
736,2432.77
737,3638.72
738,5732.94
739,6046.64
740,3861.27
741,3358.65
742,7353.07
743,5472.97
744,5913.27
745,6236.03
746,3186.69
747,2879.75
748,1942.44
749,4780.48
750,5478.46
751,2901.83
752,6919.54
753,8275.36
754,5768.5
755,1575.49
756,2429.76
757,4051.4
758,4141.2
759,5041.9
760,5699.06
761,2747.02
762,5193.89
763,3427.03
764,2527.49
765,5261.39
766,2965.2
767,7682.17
768,4107.34
769,4822.84
770,5485.24
771,7329.55
772,6278.28
773,3114.42
