x,Y
1,13575.1
2,8003.81
3,6063.15
4,4575.27
5,8750.2
6,8631.53
7,5134.14
8,3785.59
9,4152.59
10,8889.23
11,8139.31
12,5851.86
13,7845.52
14,4141.96
15,7994.91
16,6693.87
17,8469.63
18,8605.86
19,7598.19
20,5791.79
21,4884.45
22,4203.09
23,8507.36
24,8007.32
25,4964.3
26,6301.58
27,8418.04
28,3994.52
29,8286.7
30,5767.84
31,8083.29
32,8820.55
33,4770.25
34,7118.06
35,3744.23
36,7052.17
37,6645.16
38,6235.79
39,4292.79
40,8437.97
41,8770.64
42,8681.19
43,8271.96
44,8330.68
45,6554.21
46,4346.71
47,7726.37
48,8655.89
49,6356.82
50,8475.46
51,6307.98
52,5971.11
53,5028.9
54,8392.41
55,5635.02
56,4059.12
57,4257.1
58,9124.75
59,4639.82
60,8488.52
61,4670.41
62,6946.02
63,7292.51
64,7764.91
65,7811.59
66,8724.18
67,8059.05
68,8210.34
69,8847.2
70,7736.86
71,6407.92
72,7977
73,8288.48
74,6815.53
75,6383.79
76,8716.18
77,4921
78,4471.14
79,3687.05
80,8395.72
81,4399.83
82,8554.84
83,8531.28
84,4971.68
85,8610.84
86,8776.66
87,8950.85
88,4135.12
89,4416.64
90,7370.84
91,8534.31
92,7908.76
93,7360.24
94,5316.76
95,8748.59
96,8690.51
97,8555.69
98,8678.24
99,4012.14
100,4098.66
