x,y
120,1656.21
121,122.95
122,156.85
123,32.18
124,1450.22
125,332.19
126,985.67
127,1210.94
128,138.26
129,661.49
130,969.88
131,461.19
132,1024.3
133,1313.79
134,1074.61
135,250.28
136,56.36
137,97.54
138,787.4
139,236.52
140,49.49
141,68.73
142,150.25
143,1001.71
144,610.48
145,526.53
146,855.72
147,516.91
148,949
149,450.6
150,1929.76
151,55.11
152,1098.72
153,1029.91
154,231.73
155,110.2
156,554.46
157,937.42
158,812.99
159,1329.81
160,203.59
161,174.13
162,1302.32
163,1313.97
164,235.46
165,68.69
166,874.63
167,321.55
168,87.61
169,209.91
170,209.14
171,77.15
172,1072.46
173,133.89
174,515.12
175,718.68
176,95.2
177,64.37
178,270.01
179,228.97
180,581.77
181,1117.24
182,1266.4
183,126.46
184,1011.78
185,1151.82
186,1198.82
187,158.99
188,123.29
189,451.51
190,99.02
191,714.32
192,193.63
193,69.93
194,432.15
195,859.72
196,1488.13
197,915.61
198,100.97
199,232.39
200,1217.68
201,239.5
202,676.89
203,78.47
204,420.66
205,292.42
206,394.83
207,851.62
208,176.71
209,155.9
210,37.46
211,673.38
212,699.53
213,266.4
214,123.07
215,712.65
216,113.56
217,157.32
218,353.96
219,1329.74
