x,y
1,4572.01
2,224.7
3,291.2
4,1432.89
5,934.53
6,936.22
7,744.66
8,110.88
9,155.1
10,635.34
11,782.62
12,57.05
13,192.33
14,709.46
15,148.41
16,291.3
17,862.02
18,1178.14
19,1136.37
20,267.33
21,239.55
22,93.14
23,1380.31
24,100.57
25,169.8
26,539.71
27,97.72
28,912.14
29,987.69
30,1056.82
31,130.83
32,1377.57
33,646.79
34,143.4
35,489.34
36,1046.67
37,912.87
38,51.22
39,612.13
40,74.85
41,1029.88
42,235.28
43,270.87
44,103.52
45,181.82
46,110.54
47,166.97
48,1149.24
49,448.24
50,1416.06
51,145.33
52,48.97
53,81.97
54,131.74
55,251.91
56,1033.31
57,69.83
58,575.18
59,1276.92
60,90.42
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,272.4
82,918.95
83,103.43
84,486.82
85,952.54
86,58.07
87,1082.58
88,187.56
89,1240.1
90,1309.54
91,458.05
92,107.71
93,1210.63
94,491.17
95,1344.62
96,1303.36
97,1085.26
98,133.85
99,216.12
100,706.44
101,980.9
102,1468.22
103,659.2
104,191.3
105,232.89
106,377.68
107,972.39
108,1017.23
109,1212.65
110,221.37
111,540.84
112,852.73
113,32.23
114,54.56
115,93.91
116,1224.34
117,397.05
118,50.72
119,217.7
120,854.99
121,1086.31
122,370.59
123,1195.76
124,335.11
125,728.92
126,131.55
127,88.59
128,783.57
129,298.72
130,1604.31
131,462.14
132,772.71
133,913.88
134,787.51
135,215.72
136,610.29
137,1136.39
138,1397.22
139,605.63
140,790.9
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,5195.88
182,1026.21
183,772.07
184,1283.66
185,176.79
186,97.6
187,449.21
188,513.51
189,110.4
190,1289.86
191,271.86
192,1141.9
193,113.67
194,1048.52
195,307.66
196,965.87
197,571.97
198,720.77
199,1389.95
200,71.72
201,1393.44
202,689.11
203,1088.8
204,98.78
205,483.23
206,203.19
207,474.04
208,391.56
209,1375.55
210,429.65
211,420.4
212,1116.32
213,651.78
214,510.03
215,177.36
216,95.83
217,687.17
218,272.82
219,513.47
220,354.81
221,789.92
222,294.43
223,251.07
224,989.71
225,131.3
226,74.78
227,214.23
228,205.97
229,198.27
230,52.37
231,238.78
232,413.08
233,872.32
234,1556.92
235,1267.79
236,902.92
237,497.76
238,1118.96
239,47.66
240,852.7
