x,y
1,2820.69
2,1289.81
3,1903.30
4,2403.21
5,1254.02
6,1794.52
7,3019.22
8,1981.20
9,1862.53
10,1272.99
11,2457.15
12,1159.35
13,2417.36
14,2204.60
15,2582.53
16,1482.75
17,1939.87
18,1512.78
19,1888.43
20,1446.75
21,2689.25
22,1842.41
23,1703.81
24,2392.44
25,1894.33
26,2300.04
27,2891.43
28,1696.15
29,2162.01
30,1200.01
31,2027.71
32,1372.42
33,2609.04
34,2537.29
35,1408.62
36,1410.09
37,1423.48
38,2684.43
39,1610.81
40,2108.89
41,1468.72
42,1932.08
43,2162.69
44,2589.16
45,1719.44
46,2421.20
47,1408.46
48,2814.16
49,1327.00
50,2634.61
51,1252.85
52,2080.70
53,1202.05
54,2418.59
55,1879.66
56,1480.85
57,2440.75
58,1699.74
59,2093.36
60,1435.68
61,2450.92
62,2218.06
63,1539.37
64,1569.55
65,2035.44
66,2228.12
67,1744.94
68,2272.41
69,1968.01
70,1525.52
71,1885.18
72,1226.38
73,1450.63
74,1790.96
75,1894.86
76,2521.84
77,1402.83
78,1207.55
79,2012.59
80,1707.08
81,1790.72
82,2415.70
83,2116.18
84,2692.35
85,2090.38
86,1729.36
87,2782.41
88,2895.73
89,1219.29
90,1454.27
91,1722.62
92,1578.35
93,1354.15
94,2360.69
95,1532.07
96,1752.12
97,2326.54
98,1322.92
99,1703.64
100,1475.69
101,2196.09
102,1441.52
103,1652.97
104,2995.66
105,2147.78
106,1554.01
107,1825.30
108,1250.01
109,1642.99
110,1264.00
111,1534.16
112,1568.59
113,1611.12
114,2571.35
115,1746.69
116,1385.83
117,1931.95
118,1107.85
119,1587.74
120,2092.06
121,1285.29
122,1504.34
123,1417.36
124,2465.47
125,1639.60
126,2290.38
127,1300.51
128,1416.41
129,2098.55
130,1237.74
131,1315.15
132,2698.94
133,2118.03
134,1836.44
135,2105.78
136,2421.37
137,2654.75
138,1312.81
139,2676.40
140,1826.19
141,1324.70
142,1147.02
143,2159.58
144,1558.09
145,1403.41
146,1783.51
147,1544.49
148,2900.32
149,2274.43
150,1663.52
151,2458.21
152,1534.81
153,1576.63
154,1930.45
155,1354.60
156,1741.83
157,1258.93
158,2204.57
159,1803.33
160,1588.88
161,2560.85
162,2159.00
163,2591.68
164,1357.65
165,2342.51
166,2377.66
167,1913.78
168,1564.95
169,2178.15
170,1583.32
171,1336.55
172,2461.39
173,1871.09
174,1504.82
175,2727.59
176,1126.20
177,2602.81
178,1667.81
179,2721.88
180,1352.92
181,1282.75
182,1964.34
183,2194.42
184,1947.72
185,1623.65
186,1457.70
187,1697.93
188,1675.44
189,2263.89
190,1552.07
191,1341.63
192,1404.21
193,2415.41
194,1652.51
195,2495.96
196,1690.75
197,1707.78
198,2571.24
199,1219.59
200,1252.75
201,2072.12
202,1353.19
203,2665.76
204,1799.47
205,1614.35
206,1765.28
207,1353.16
208,1400.93
209,1474.94
210,1401.80
211,1251.06
212,2033.14
213,1567.33
214,1329.92
215,2098.44
216,3075.99
217,1847.27
218,1379.49
219,1471.49
220,1421.40
221,1443.04
222,1448.45
223,1826.24
224,1270.22
225,2624.43
226,1676.46
227,2071.07
228,1693.10
229,1735.63
230,1904.37
231,2146.61
232,2724.44
233,2301.08
234,1197.79
235,1813.25
236,1261.90
237,1657.89
238,1386.51
239,2625.22
240,1367.65
241,1969.89
242,2182.57
243,1942.07
244,2136.80
245,1487.84
246,2817.85
247,1407.01
248,1489.93
249,2182.87
250,1539.66
251,2418.23
252,1325.70
253,1384.91
254,1531.02
255,1727.25
256,2089.95
257,2518.29
258,3016.64
259,1768.17
260,2023.05
261,2444.31
262,1317.15
263,2989.81
264,2136.71
265,1999.20
266,3011.30
267,2649.09
268,1881.14
269,1862.97
270,1684.67
271,2182.59
272,2791.13
273,1106.22
274,2757.04
275,2611.27
276,2067.22
277,1916.20
278,1292.54
279,2845.83
280,2175.35
281,1637.42
282,1424.14
283,1404.59
284,2364.62
285,1863.46
286,1181.64
287,2239.46
288,1484.28
289,1307.28
290,2127.00
291,1715.95
292,1523.68
293,1688.27
294,1776.16
295,1780.44
296,1639.35
297,1657.05
298,2688.18
299,2741.71
300,1953.26
301,1835.98
302,1271.14
303,1622.88
304,1369.67
305,1750.30
306,3049.53
307,2950.16
308,1712.41
309,1421.76
310,1413.06
311,1806.52
312,2559.28
313,1754.59
314,1441.94
315,2536.69
316,2399.00
317,1381.18
318,1104.11
319,1889.79
320,1499.30
321,1642.79
322,2714.03
323,1549.36
324,2787.53
325,2692.78
326,1788.99
327,1535.07
328,1313.35
329,1740.04
330,1963.36
331,1539.26
332,2689.67
333,1546.68
334,1504.01
335,1497.25
336,2090.67
337,1674.96
338,1793.66
339,2853.00
340,2599.99
341,2041.05
342,1306.92
343,1888.65
344,1503.33
345,1774.70
346,1172.07
347,1595.11
348,2058.83
349,2330.56
350,2153.88
351,2784.66
352,1500.57
353,1347.05
354,2029.96
355,2028.53
356,1434.79
357,2518.45
358,1811.16
359,1615.80
360,1964.95
361,1150.54
362,1536.45
363,1153.74
364,1267.44
365,2304.72
366,1875.55
367,1905.43
368,2195.48
369,1866.40
370,1658.97
371,1727.75
372,1833.72
373,1474.45
374,1542.55
375,2516.06
376,1696.19
377,1975.58
378,2698.58
379,1598.09
380,2606.06
381,1204.42
382,1459.30
383,1959.89
384,1763.67
385,1454.67
386,2684.56
387,1887.36
388,2402.09
389,2118.58
390,1445.94
391,1602.39
392,1230.05
393,1468.51
394,3033.92
395,1812.95
396,1409.44
397,1879.53
398,1587.32
399,1374.49
400,2084.73
401,1614.19
402,1463.92
403,1507.61
404,2012.87
405,1402.54
406,1511.59
407,1780.27
408,2430.87
409,1423.63
410,2425.87
411,2303.43
412,1895.18
413,1443.41
414,1812.62
415,1594.31
416,1646.39
417,1427.58
418,2838.79
419,1316.73
420,1482.80
421,1433.25
422,1996.46
423,1820.62
424,2606.51
425,2455.02
426,1609.95
427,2772.06
428,1404.28
429,1350.38
430,2898.71
431,1826.20
432,2175.96
433,1474.38
434,1736.36
435,1715.83
436,2623.64
437,1649.95
438,1899.52
439,2426.01
440,2542.05
441,1883.48
442,1549.80
443,1616.35
444,3002.90
445,1538.35
446,1402.68
447,1316.78
448,2077.05
449,2622.14
450,1345.01
451,1521.86
452,1806.95
453,2174.83
454,1447.59
455,2419.22
456,1504.63
457,1866.46
458,2386.90
459,2323.92
460,1935.01
461,1356.95
462,1698.38
463,1861.23
464,2626.98
465,1395.55
466,1368.70
467,1261.56
468,1396.04
469,2563.74
470,1272.07
471,1437.82
472,1470.37
473,1436.00
474,1440.62
475,2758.42
476,1497.88
477,1803.00
478,2797.70
479,2038.84
480,2037.47
481,2078.25
482,1309.60
483,1880.69
484,2831.08
485,1227.49
486,1524.43
487,2088.90
488,1546.18
489,1564.06
490,2393.03
491,1504.10
492,1555.06
493,1691.71
494,1333.50
495,1673.93
496,1477.50
497,2090.66
498,1206.29
499,1199.80
500,2080.36
501,1608.80
502,2328.12
503,1525.18
504,1718.92
505,1629.58
506,1670.22
507,1424.34
508,1525.90
509,1484.50
510,1483.85
511,1749.52
512,1872.81
513,2122.75
514,2691.13
515,1439.53
516,1674.94
517,2924.24
518,1932.86
519,1382.16
520,1756.75
521,1738.67
522,2770.03
523,1476.93
524,2922.43
525,1569.84
526,1658.38
527,1911.64
528,2907.94
529,2703.76
530,1676.28
531,1328.06
532,2318.87
533,1694.92
534,1664.53
535,2156.97
536,1127.44
537,2978.51
538,2549.10
539,2121.25
540,1356.74
541,2537.67
542,1502.85
543,2662.94
544,2014.40
545,1752.49
546,1310.78
547,1372.39
548,1893.25
549,1551.61
550,1823.87
551,1962.55
552,1535.83
553,2595.96
554,2543.64
555,2343.68
556,2463.70
557,1471.32
558,1838.44
559,1762.47
560,2106.46
561,2736.59
562,1328.93
563,2568.04
564,1606.43
565,2741.49
566,1554.31
567,1349.40
568,1650.40
569,2950.80
570,1597.02
571,1995.72
572,2178.93
573,2909.27
