x,y,,,,,,
1,7515.3,,,,,,
2,2453.19,,,,,,
3,1580.29,,,,,,
4,3873.61,,,,,,
5,3189.27,,,,,,
6,2221.98,,,,,,
7,2027.21,,,,,,
8,1943.9,,,,,,
9,3839.81,,,,,,
10,5177.14,,,,,,
11,7642.16,,,,,,
12,3598.11,,,,,,
13,1891.83,,,,,,
14,2264.69,,,,,,
15,2129.66,,,,,,
16,2083.05,,,,,,
17,2800.74,,,,,,
18,5584.22,,,,,,
19,3588.51,,,,,,
20,3988.7,,,,,,
21,4646.86,,,,,,
22,3210.8,,,,,,
23,6957.92,,,,,,
24,2489.86,,,,,,
25,3868.07,,,,,,
26,3198.94,,,,,,
27,1951.28,,,,,,
28,1551.76,,,,,,
29,5013.01,,,,,,
30,2152.83,,,,,,
31,3393.94,,,,,,
32,2528.72,,,,,,
33,6697.23,,,,,,
34,3181.03,,,,,,
35,4746.77,,,,,,
36,2194.3,,,,,,
37,5921.65,,,,,,
38,4469.95,,,,,,
39,3025.94,,,,,,
40,4212.62,,,,,,
41,7069.21,,,,,,
42,7643.49,,,,,,
43,2837.2,,,,,,
44,5649.72,,,,,,
45,2374.2,,,,,,
46,2967,,,,,,
47,3685.67,,,,,,
48,6073.64,,,,,,
49,2406.65,,,,,,
50,2541.07,,,,,,
51,6174.16,,,,,,
52,5650.66,,,,,,
53,8075.03,,,,,,
54,3333.29,,,,,,
55,7189.59,,,,,,
56,5752.99,,,,,,
57,3620.99,,,,,,
58,5500.16,,,,,,
59,5047.57,,,,,,
60,6439.59,,,,,,
61,2776.11,,,,,,
62,2940.08,,,,,,
63,4208.2,,,,,,
64,3872.5,,,,,,
65,3361.99,,,,,,
66,3977.8,,,,,,
67,4411.69,,,,,,
68,3090.66,,,,,,
69,3899.51,,,,,,
70,2952.42,,,,,,
71,3392.52,,,,,,
72,2394.43,,,,,,
73,5825.89,,,,,,
74,1892.09,,,,,,
75,3311.58,,,,,,
76,5017.83,,,,,,
77,3080.9,,,,,,
78,8007.52,,,,,,
79,4000.64,,,,,,
80,7748.78,,,,,,
81,2804.28,,,,,,
82,2820.44,,,,,,
83,6198.54,,,,,,
84,4902.83,,,,,,
85,6077.57,,,,,,
86,5594.46,,,,,,
87,2814.92,,,,,,
88,3973.84,,,,,,
89,2029.8,,,,,,
90,6532.67,,,,,,
91,2878.2,,,,,,
92,4956.73,,,,,,
93,2759.31,,,,,,
94,4674.61,,,,,,
95,6674.36,,,,,,
96,1644.07,,,,,,
97,5599.73,,,,,,
98,2498.82,,,,,,
99,2745.28,,,,,,
100,3313.12,,,,,,
101,3100.77,,,,,,
102,4968.32,,,,,,
103,2615,,,,,,
104,2816.26,,,,,,
105,3071.39,,,,,,
106,2430.11,,,,,,
107,1729.64,,,,,,
108,5651.97,,,,,,
109,5398.13,,,,,,
110,3671.54,,,,,,
111,4359.55,,,,,,
112,2435.39,,,,,,
113,2987.19,,,,,,
114,5507.66,,,,,,
115,2793.09,,,,,,
116,3938.15,,,,,,
117,5175.89,,,,,,
118,6509.47,,,,,,
119,2793.52,,,,,,
120,7400.63,,,,,,
121,2439.99,,,,,,
122,4600.16,,,,,,
123,2291.92,,,,,,
124,4243.7,,,,,,
125,5235.74,,,,,,
126,2432.65,,,,,,
127,5047.72,,,,,,
128,2592.81,,,,,,
129,2509.04,,,,,,
130,2655.62,,,,,,
131,6226.6,,,,,,
132,2443.22,,,,,,
133,2257.77,,,,,,
134,1442.48,,,,,,
135,6409.43,,,,,,
136,3537.14,,,,,,
137,3545.78,,,,,,
138,2493.08,,,,,,
139,6200.65,,,,,,
140,4855.01,,,,,,
141,3358.78,,,,,,
142,3079.17,,,,,,
143,6622.35,,,,,,
144,4127.16,,,,,,
145,2613.37,,,,,,
146,5671.7,,,,,,
147,5771.81,,,,,,
148,5309.09,,,,,,
149,4698.74,,,,,,
150,2817.74,,,,,,
151,3637.07,,,,,,
152,5027.61,,,,,,
153,1521.39,,,,,,
154,4948.75,,,,,,
155,4134.71,,,,,,
156,4140.57,,,,,,
157,2775.16,,,,,,
158,2232.73,,,,,,
159,6681.92,,,,,,
160,5088.87,,,,,,
161,2535.52,,,,,,
162,2434.19,,,,,,
163,2499.22,,,,,,
164,2832.15,,,,,,
165,6017.77,,,,,,
166,2605.94,,,,,,
167,4092.69,,,,,,
168,1907.93,,,,,,
169,2527.51,,,,,,
170,2501.46,,,,,,
171,4134.12,,,,,,
172,2296.48,,,,,,
173,5943.2,,,,,,
174,2381.21,,,,,,
175,2414.27,,,,,,
176,4090.16,,,,,,
177,5304.68,,,,,,
178,3212.98,,,,,,
179,7420.2,,,,,,
180,1484.57,,,,,,
181,7091.62,,,,,,
182,5256.14,,,,,,
183,2494.16,,,,,,
184,4612.14,,,,,,
185,7324.75,,,,,,
186,1928.03,,,,,,
187,7117.37,,,,,,
188,2175.85,,,,,,
189,3928.25,,,,,,
190,3739.77,,,,,,
191,4933.35,,,,,,
192,7759.11,,,,,,
193,2953.43,,,,,,
194,5727.69,,,,,,
195,1843.51,,,,,,
196,3185.66,,,,,,
197,2031.63,,,,,,
198,1465.49,,,,,,
199,3209.23,,,,,,
200,1849.84,,,,,,
201,1761.64,,,,,,
202,2100.14,,,,,,
203,2724.37,,,,,,
204,1595.3,,,,,,
205,3170.78,,,,,,
206,3740.88,,,,,,
207,2254.8,,,,,,
208,2498.62,,,,,,
209,1607.87,,,,,,
210,7452.95,,,,,,
211,5635.23,,,,,,
212,4114.46,,,,,,
213,2029.23,,,,,,
214,2215.84,,,,,,
215,3799.37,,,,,,
216,4808.72,,,,,,
217,5128,,,,,,
218,1563.31,,,,,,
219,1992.58,,,,,,
220,1844.06,,,,,,
221,2320.62,,,,,,
222,6770.73,,,,,,
223,3711.32,,,,,,
224,5650.9,,,,,,
225,2494.35,,,,,,
226,1757.59,,,,,,
227,3774.38,,,,,,
228,4356.21,,,,,,
229,2394.1,,,,,,
230,2701.47,,,,,,
231,3609.96,,,,,,
232,3160.37,,,,,,
233,2652.75,,,,,,
234,4116.59,,,,,,
235,4998.13,,,,,,
236,1944.78,,,,,,
237,1752.72,,,,,,
238,6412.91,,,,,,
239,7472.34,,,,,,
240,3579.12,,,,,,
241,2934.64,,,,,,
242,5011.55,,,,,,
243,2726.24,,,,,,
244,2236.62,,,,,,
245,1853.19,,,,,,
246,7418.61,,,,,,
247,3204.55,,,,,,
248,7546.94,,,,,,
249,6127.88,,,,,,
250,3840.38,,,,,,
251,1446.3,,,,,,
252,4461.37,,,,,,
253,2272.51,,,,,,
254,3657.97,,,,,,
255,2617.28,,,,,,
256,6435.87,,,,,,
257,2210.71,,,,,,
258,4748.41,,,,,,
259,5739.1,,,,,,
260,3489.76,,,,,,
261,7307.83,,,,,,
262,3554.72,,,,,,
263,6215.62,,,,,,
264,2788.46,,,,,,
265,5796.11,,,,,,
266,2629.56,,,,,,
267,3538.16,,,,,,
268,2073.7,,,,,,
269,3362.47,,,,,,
270,6413.85,,,,,,
271,6853.69,,,,,,
272,5610.73,,,,,,
273,3928.26,,,,,,
274,3632.48,,,,,,
275,5376.1,,,,,,
276,2628.33,,,,,,
277,5934.57,,,,,,
278,4098.87,,,,,,
279,4779.45,,,,,,
280,3295.24,,,,,,
281,8273.39,,,,,,
282,3621.58,,,,,,
283,2302.67,,,,,,
284,3029.38,,,,,,
285,2659.63,,,,,,
286,5541.16,,,,,,
