x,y
1,11453.94
2,6837.73
3,6868.65
4,6867.04
5,7155.78
6,6901.95
7,7087.34
8,6947.63
9,6967.5
10,6951.09
11,7135.64
12,7121.85
13,6955.09
14,6850.67
15,6919.31
16,6974.46
17,7196.94
18,6834.7
19,6876.7
20,6957.16
21,6958.27
22,6957.65
23,6926.59
24,6966.25
25,6927.32
26,6838.05
27,6906.31
28,6931.87
29,6911.93
30,6909.69
31,6803.17
32,6999.54
33,6744.17
34,6728.67
35,6831.36
36,6855.8
37,6852.86
38,6844.2
39,6787.81
40,6830.77
41,6990.04
42,6912.62
43,6938.23
44,6949.98
45,6719.92
46,6831.16
47,6724.83
48,6760.74
49,6912.83
50,7003.78
51,6885.91
52,7017.21
53,6978
54,6827.04
55,6750.15
56,6838.39
57,6763.21
58,6806.9
59,6829.69
60,6893.81
61,7049.11
62,6887.21
63,6767.34
64,7092.72
65,6849.85
66,6907.97
67,6788.34
68,6921.86
69,6866.67
70,6891.6
71,6855.2
72,6965.71
73,6810.44
74,6924.33
75,6809.73
76,6846.51
77,6903.34
78,6994.47
79,6887.72
80,7033.28
81,6981.35
82,6927
83,7208.8
84,7169.9
85,6992.5
86,6889
87,6903.65
88,6967.57
89,6825.77
90,6906.17
91,6981.87
92,6835.8
93,6964.99
94,6838.75
95,6848.52
96,6928.44
97,6905.79
98,6763.79
99,6887.89
100,7043.55
101,6862.71
102,6903.89
103,6782.85
104,6942.12
105,6826.49
106,6968.42
107,6931.11
108,6846.43
109,6981.67
110,7055.63
111,7025.95
112,7016.73
113,6932.77
114,7000.13
115,6823.49
116,6886.92
117,7130.47
118,6971.37
119,6985.27
120,6952.16
121,6744.57
122,6894.58
123,6829.66
124,7052.21
125,6920.08
126,6984.41
127,6924.97
128,7072.85
129,6766.05
130,6873.48
131,6945.86
132,7030.67
133,6929.54
134,6953.43
135,6968.26
136,7046.21
137,6772.32
138,6892.62
139,6920.54
140,6929.27
141,7012.91
142,6995.31
143,6968.88
144,6825.26
145,6913.61
146,6841.86
147,6843.94
148,6937.74
149,6844.62
150,6820.26
151,6917.78
152,6826.61
153,6817.15
154,6965.65
155,7069.93
156,6824.73
157,6829.56
158,6852.34
159,6852.09
160,7019.41
161,6955.97
162,6955.54
163,6751.74
164,6940.2
165,6856.64
166,6891.63
167,6862.3
168,7006.12
169,6789.99
170,6966.82
171,6911.55
172,6956.82
173,6997.46
174,6970.34
175,6990.83
176,7014.92
177,6985.64
178,6951.89
179,6911.61
180,7018.33
181,6984.15
182,6978.3
183,7006.74
184,6908.31
185,6932.15
186,6867.9
187,6889.47
188,6801.3
189,6908.57
190,6817.08
191,6827.44
192,6924.79
193,7098.79
194,7013.73
195,7023.47
196,7024.95
