x,y,,,,,,
1,4117.18,,,,,,
2,628.11,,,,,,
3,431.26,,,,,,
4,1432.01,,,,,,
5,59.59,,,,,,
6,1253.51,,,,,,
7,671.58,,,,,,
8,1142.91,,,,,,
9,810.93,,,,,,
10,998.79,,,,,,
11,1323.93,,,,,,
12,1251.91,,,,,,
13,333.38,,,,,,
14,95.16,,,,,,
15,381.01,,,,,,
16,93.89,,,,,,
17,1110.18,,,,,,
18,249.28,,,,,,
19,216.71,,,,,,
20,1084.14,,,,,,
21,85.41,,,,,,
22,933.11,,,,,,
23,787.44,,,,,,
24,366.69,,,,,,
25,827.62,,,,,,
26,112.81,,,,,,
27,1110.7,,,,,,
28,1116.48,,,,,,
29,883.1,,,,,,
30,260.73,,,,,,
31,1069.66,,,,,,
32,344.28,,,,,,
33,199.27,,,,,,
34,934.51,,,,,,
35,53.12,,,,,,
36,458.9,,,,,,
37,760.12,,,,,,
38,861.47,,,,,,
39,1150.82,,,,,,
40,1032.38,,,,,,
41,304.74,,,,,,
42,1031.67,,,,,,
43,792.5,,,,,,
44,1019.01,,,,,,
45,62.61,,,,,,
46,710.51,,,,,,
47,1234.96,,,,,,
48,194.64,,,,,,
49,171.28,,,,,,
50,45.65,,,,,,
51,431.74,,,,,,
52,1640.14,,,,,,
53,67.38,,,,,,
54,249.68,,,,,,
55,267.82,,,,,,
56,77.63,,,,,,
57,71.46,,,,,,
58,1430.88,,,,,,
59,568.49,,,,,,
60,235.37,,,,,,
61,135.81,,,,,,
62,1394.57,,,,,,
63,39.45,,,,,,
64,221.34,,,,,,
65,1315.51,,,,,,
66,379.45,,,,,,
67,1405.39,,,,,,
68,271.81,,,,,,
69,367.94,,,,,,
70,99.4,,,,,,
71,65.2,,,,,,
72,91.61,,,,,,
73,120.43,,,,,,
74,305.82,,,,,,
75,109.57,,,,,,
76,1344.93,,,,,,
77,210.39,,,,,,
78,948.65,,,,,,
79,1160.06,,,,,,
80,799.89,,,,,,
81,68.28,,,,,,
82,878.94,,,,,,
83,708.25,,,,,,
84,625.89,,,,,,
85,86.88,,,,,,
86,41.86,,,,,,
87,445.25,,,,,,
88,1234.22,,,,,,
89,44.8,,,,,,
90,233.86,,,,,,
91,780.3,,,,,,
92,1311.59,,,,,,
93,195.87,,,,,,
94,98.92,,,,,,
95,972.82,,,,,,
96,1197.04,,,,,,
97,865,,,,,,
98,342.35,,,,,,
99,180.08,,,,,,
100,431.15,,,,,,
101,1177.34,,,,,,
102,855.1,,,,,,
103,961.26,,,,,,
104,1424.94,,,,,,
105,85.25,,,,,,
106,133.97,,,,,,
107,1495.36,,,,,,
108,784.39,,,,,,
109,61.13,,,,,,
110,614.69,,,,,,
111,97.21,,,,,,
112,370.42,,,,,,
113,887.77,,,,,,
114,85.21,,,,,,
115,334.94,,,,,,
116,1033.92,,,,,,
117,119.76,,,,,,
118,98.16,,,,,,
119,480.02,,,,,,
120,761.44,,,,,,
121,679.31,,,,,,
122,72.12,,,,,,
123,752.8,,,,,,
124,809.36,,,,,,
125,1351.74,,,,,,
126,985.41,,,,,,
127,74.9,,,,,,
128,356.25,,,,,,
129,780.25,,,,,,
130,1352.78,,,,,,
131,45.63,,,,,,
132,46.89,,,,,,
133,657.34,,,,,,
134,602.97,,,,,,
135,1235.76,,,,,,
136,822.74,,,,,,
137,51.98,,,,,,
138,341.8,,,,,,
139,138.03,,,,,,
140,201.31,,,,,,
141,1087.14,,,,,,
142,243.35,,,,,,
143,636.75,,,,,,
144,71.89,,,,,,
145,1432.18,,,,,,
146,159.28,,,,,,
147,190.51,,,,,,
148,1226.46,,,,,,
149,903.79,,,,,,
150,621.6,,,,,,
151,360.4,,,,,,
152,53.23,,,,,,
153,732.27,,,,,,
154,190.39,,,,,,
155,612.47,,,,,,
156,789.36,,,,,,
157,931.15,,,,,,
158,703.75,,,,,,
159,219.71,,,,,,
160,56.98,,,,,,
161,1118.06,,,,,,
162,526.54,,,,,,
163,1389.86,,,,,,
164,788.54,,,,,,
165,289.44,,,,,,
166,179.25,,,,,,
167,856.82,,,,,,
168,1305.77,,,,,,
169,1581.98,,,,,,
170,726.64,,,,,,
171,265.36,,,,,,
172,726.6,,,,,,
173,424.3,,,,,,
174,860.52,,,,,,
175,146.25,,,,,,
176,203.25,,,,,,
177,337.49,,,,,,
178,1386.77,,,,,,
179,867.6,,,,,,
180,40.73,,,,,,
181,239.27,,,,,,
182,766.71,,,,,,
183,107.18,,,,,,
184,44.83,,,,,,
185,52.95,,,,,,
186,1039.75,,,,,,
187,466.72,,,,,,
188,497.35,,,,,,
189,185,,,,,,
190,630.9,,,,,,
191,707.53,,,,,,
192,327.09,,,,,,
193,169.31,,,,,,
194,1211.29,,,,,,
195,1311.61,,,,,,
196,613.65,,,,,,
197,50.55,,,,,,
198,717.04,,,,,,
199,1165.25,,,,,,
200,799.87,,,,,,
201,375.83,,,,,,
202,884.58,,,,,,
203,52.09,,,,,,
204,1328.82,,,,,,
205,345.34,,,,,,
206,1089.23,,,,,,
207,994.16,,,,,,
208,282.35,,,,,,
209,458.46,,,,,,
210,310.99,,,,,,
211,107.08,,,,,,
212,90.75,,,,,,
213,201.7,,,,,,
214,812.41,,,,,,
215,1360.33,,,,,,
216,110.92,,,,,,
217,41.14,,,,,,
218,257.42,,,,,,
219,153.04,,,,,,
220,353.64,,,,,,
221,184.17,,,,,,
222,48.23,,,,,,
223,1121.2,,,,,,
224,1469.84,,,,,,
225,696.92,,,,,,
226,121.4,,,,,,
227,848.66,,,,,,
228,74.62,,,,,,
229,249.96,,,,,,
230,335.23,,,,,,
231,1391.87,,,,,,
232,77.15,,,,,,
233,514.49,,,,,,
234,46.5,,,,,,
235,1280.91,,,,,,
236,719.61,,,,,,
237,859.43,,,,,,
238,304.7,,,,,,
239,1502.37,,,,,,
240,490.47,,,,,,
241,183.42,,,,,,
242,79.98,,,,,,
243,1144.79,,,,,,
244,717.14,,,,,,
245,883.32,,,,,,
246,1102.02,,,,,,
247,840.75,,,,,,
248,457.76,,,,,,
249,82.55,,,,,,
250,964.86,,,,,,
251,706.97,,,,,,
252,148.04,,,,,,
253,223.97,,,,,,
254,121.17,,,,,,
255,849.92,,,,,,
