x,y
1,4058.8
2,311.38
3,264.89
4,247.14
5,330.88
6,373.4
7,290.6
8,363.54
9,263.61
10,278.86
11,503.93
12,214.86
13,237.06
14,212.16
15,209.76
16,324.6
17,287.65
18,211.96
19,232.67
20,220.05
21,409.99
22,206.23
23,232.22
24,208.31
25,213.81
26,292.97
27,213.99
28,234.47
29,218.55
30,211.04
31,290.69
32,193.95
33,208.61
34,220.3
35,211.16
36,302.45
37,230.83
38,198.45
39,192.73
40,210.11
41,303.57
42,234.31
43,229.67
44,200.99
45,217.36
46,305.49
47,209.52
48,219.19
49,233.57
50,221.03
51,315.57
52,223.22
53,230.35
54,223.66
55,220.99
56,330.86
57,223.75
58,231.95
59,229.56
60,224.69
61,339.98
62,242.35
63,372.77
64,207.44
65,218.82
66,304.33
67,228.52
68,242.58
69,213.46
70,272.75
71,321.95
72,226.95
73,236.97
74,234.71
75,225.09
76,288.04
77,228.11
78,222.61
79,213.5
80,213.86
81,308.1
82,230.3
83,225.87
84,247.87
85,221.76
86,279.18
87,211.22
88,223.22
89,231.49
90,252.36
91,310.46
92,235.5
93,221.02
94,206.7
95,208.48
96,309.3
97,229.68
98,216.66
99,230.3
100,222.3
101,311.06
102,228.77
103,219.1
104,273.31
105,231.54
106,310.93
107,208.12
108,229.32
109,229.59
110,248.39
111,415.48
112,220.84
113,234.4
114,267.91
115,228.51
116,296.1
117,226.98
118,231.5
119,219.77
120,227.05
121,297.05
122,236.67
123,235.3
124,217.92
125,212.46
126,327.48
127,217.88
128,230.64
129,214.85
130,216.69
131,293.81
132,223.79
133,227.64
134,255.1
135,224.55
136,309.24
137,233.36
138,475.32
139,233.04
140,236.99
141,302.23
142,227.26
143,224.65
144,230.45
145,217.83
146,296.55
147,233.18
148,210.24
149,209.03
150,235.28
151,305.09
152,250.22
153,257.24
154,227.92
155,241.63
156,292.65
157,227.04
158,212.1
159,214.41
160,258.14
161,306.66
162,256.6
163,249.57
164,214.21
165,216.09
166,326.61
167,217.68
168,244.49
169,235.7
170,214.98
171,309.45
172,231.31
173,230.64
174,215.26
175,235.73
176,337.07
177,218.48
178,209.76
179,215.13
180,242.33
181,312.02
182,227.07
183,207.09
184,219.26
185,208.76
186,304.31
187,216.31
188,199.31
189,244.36
190,236.37
191,312.06
192,276.76
193,232.37
194,213.05
195,230.64
196,296.88
197,228.53
198,209.54
199,209.7
200,201.25
201,313.61
202,233.48
203,232.98
204,197.01
205,212.59
206,294.01
207,211.19
208,217.73
209,239.93
210,229.29
211,351.15
212,216.03
213,212.12
214,206.06
215,211.99
216,293.77
217,213.53
218,218.09
219,213.57
220,218.48
221,292.04
222,211.2
223,210.9
224,210.06
225,212.81
226,395.35
227,215.14
228,215.62
229,209.45
230,270.29
231,293.14
232,253.18
233,210.34
234,196.87
235,236.58
236,334.25
237,233.76
238,218.31
239,213.7
240,220.02
241,405.69
242,230.55
243,214.4
244,224.58
245,220.55
246,296.57
247,228.03
248,230.26
249,217.99
250,248.87
251,305.39
252,214.58
253,238.79
254,222.09
255,222.33
256,303.64
257,227.31
258,227.84
259,192.76
260,223.64
261,330.98
262,214.33
263,197.13
264,210.61
265,274.8
266,307.21
267,218.08
268,253.59
269,212.59
270,209.83
271,308.11
272,217.04
273,221.85
274,226.53
275,211.24
276,308.37
277,232.56
278,213.74
279,196.68
280,220.96
281,290.69
282,212.5
283,226.21
284,196.2
285,213.88
286,288.38
287,202.12
288,232.34
289,203.72
290,212.13
291,274.9
292,221.81
293,214.35
294,222.06
295,212.08
296,309.01
297,218.46
298,216.38
299,219.55
300,227.36
301,214.3
302,316.44
303,273.32
304,220.93
305,219.78
306,230.55
307,214.98
308,304.49
309,212.81
310,226.16
311,274.39
312,221.25
313,215.78
314,315.2
315,217.3
316,223.99
317,212
318,216
319,308.02
320,209.88
321,208.34
322,218.39
323,230.34
324,196.08
325,295.01
326,225.54
327,214.94
328,228.89
329,251.14
330,225.1
331,290.93
332,224.36
333,209.8
334,225.93
335,226.8
336,200.76
337,303.1
338,217.56
339,210.88
340,214.47
341,214.39
342,223.79
343,309.25
344,424.72
345,213.45
346,210.5
347,232.7
348,231.7
349,310.55
350,212.83
351,225.38
352,224.48
353,215.64
354,202.82
355,319.66
356,234.21
357,210.09
358,210.57
359,226.01
360,215.89
361,302.94
362,224.65
363,211.63
364,208.01
365,210.59
366,305.63
367,295.26
368,232.8
369,204.12
370,251.92
371,204.6
372,220.97
373,312.47
374,204.56
375,208.88
376,207.64
377,199.65
378,212
379,312.41
380,215.22
381,215.93
382,210.22
383,235.1
384,221.57
385,301.22
386,244.37
387,207.92
388,221.56
389,228.52
390,213.33
391,297.95
392,218.03
393,238.84
394,215.23
395,226.58
396,249.53
397,312.37
398,232.97
399,207.06
400,211.22
401,224.27
402,228.21
403,301.87
404,221.72
405,214.19
406,214.52
407,253.41
408,220.06
409,302.95
410,212.22
411,265.58
412,209.32
413,206.42
414,209.9
415,312.93
416,215.1
417,249.24
418,211.14
419,214.95
420,291.26
421,304.33
422,273.91
423,214.37
424,205.78
425,312.64
426,207
427,219.6
428,216.79
429,214.26
430,293.43
431,226.26
432,215.99
433,209.02
434,203.11
435,306.14
436,207.34
437,209.98
438,219.97
439,214.3
440,256.03
441,300.8
442,230.04
443,227.99
444,229.25
445,235.81
446,210.99
447,287
448,228.44
449,219.72
450,222.43
451,206.85
452,215.48
453,291.88
454,249.51
455,209.95
456,216.45
457,207.67
458,209.78
459,303.97
460,208.67
461,205.36
462,226.73
463,224.13
464,218.81
465,301.12
466,269.42
467,210.02
468,223.31
469,208.45
470,203.87
471,303.78
472,224.69
473,229.72
474,220.82
475,224.59
476,229.98
477,309.04
478,210.59
479,230.81
480,222.46
481,211.67
482,226.16
483,289.47
484,213.99
485,217.46
486,214.99
487,213.82
488,212.9
489,291.02
490,212.39
491,211.44
492,228.27
493,230.25
494,212.35
495,296.43
496,216.46
497,221.26
498,214.23
499,211.74
500,215.64
501,309.31
502,230.58
503,250.65
504,204.84
505,215.93
506,212.4
507,300.42
508,209.69
509,199.15
510,210.32
511,298.21
512,360.38
513,306.05
514,207.99
515,213.16
516,218.72
517,198.12
518,300.78
519,204.71
520,213.57
521,207.91
522,218.7
523,312.38
524,212.46
525,222.79
526,209.99
527,215.24
528,295.32
529,204.34
530,218.72
531,196.25
532,228.77
533,232.78
534,297.31
535,212.95
536,199.34
537,240.2
538,217.01
539,211.44
540,293.32
541,374.48
542,213.48
543,239.37
544,213.88
545,211.58
546,292.79
547,201.53
548,210.64
549,229.98
550,214.09
551,220.42
552,378.31
553,228.27
554,196.51
555,205.86
556,195.72
557,216.64
558,297.82
559,208.47
560,205.08
561,216.03
562,216.04
563,232.06
564,299.41
565,211.97
566,203.29
567,218.26
568,214.53
569,226.79
570,296.25
571,217.97
572,219.63
573,204.04
574,200.02
575,209.65
576,302.4
577,212.06
578,221.84
579,206.95
580,216.72
581,231.53
582,304.41
583,219.5
584,215.69
585,218.32
586,273.25
587,215.89
588,316.09
589,201.73
590,213.15
591,222.52
592,214.37
593,214.75
594,309.03
595,206.85
596,197.39
597,212.2
598,251.54
599,204.93
600,311.39
601,197.9
602,220.63
603,224.05
604,214.62
605,325.05
606,340.68
607,238.16
608,226.32
609,216.07
610,227.99
611,272.18
612,312.91
613,215.26
614,212.03
615,266.02
616,220.65
617,304.72
618,210.39
619,215.33
620,216.14
621,287.94
622,279.35
623,209.31
624,194.63
625,201.11
626,210.31
627,339.02
628,308.79
629,199.65
630,215.17
631,212.02
632,212.59
633,219.02
634,370.4
635,204.75
636,210.02
637,208.49
638,207.9
639,212.91
640,312.75
641,210.45
642,197.47
643,216.21
644,202.08
645,215.19
646,293.25
