x,y,,,,,,
1,6897.91,,,,,,
2,8726.67,,,,,,
3,9292.42,,,,,,
4,9533.42,,,,,,
5,6461.47,,,,,,
6,8917.69,,,,,,
7,4530.19,,,,,,
8,5235.21,,,,,,
9,6354.66,,,,,,
10,9311.59,,,,,,
11,6687.45,,,,,,
12,4516.44,,,,,,
13,9218.42,,,,,,
14,8363.15,,,,,,
15,9345.57,,,,,,
16,9174.33,,,,,,
17,9516.88,,,,,,
18,8508.96,,,,,,
19,3996.01,,,,,,
20,4661.46,,,,,,
21,8918.96,,,,,,
22,5054.76,,,,,,
23,8774.85,,,,,,
24,8594.89,,,,,,
25,6741.2,,,,,,
26,8393.52,,,,,,
27,4452.19,,,,,,
28,9590.89,,,,,,
29,6816.08,,,,,,
30,6191.87,,,,,,
31,6753.27,,,,,,
32,9624.94,,,,,,
33,8134.67,,,,,,
34,9447.64,,,,,,
35,8950.93,,,,,,
36,7220.15,,,,,,
37,8238.7,,,,,,
38,5985.25,,,,,,
39,4177.8,,,,,,
40,8551.74,,,,,,
41,4617.93,,,,,,
42,4118.68,,,,,,
43,7622.94,,,,,,
44,6287.51,,,,,,
45,8688.27,,,,,,
46,4777.02,,,,,,
47,8245.84,,,,,,
48,7429.06,,,,,,
49,4307.33,,,,,,
50,4497.19,,,,,,
51,4388.06,,,,,,
52,8118.59,,,,,,
53,9339.84,,,,,,
54,4961.53,,,,,,
55,6787.51,,,,,,
56,6253.69,,,,,,
57,9566.63,,,,,,
58,8847.92,,,,,,
59,8094.12,,,,,,
60,8582.76,,,,,,
61,9128.25,,,,,,
62,4209.61,,,,,,
63,8324.89,,,,,,
64,8525.69,,,,,,
65,9256.04,,,,,,
66,9265,,,,,,
67,5931.31,,,,,,
68,9190.69,,,,,,
69,4516.23,,,,,,
70,8241.32,,,,,,
71,9570.53,,,,,,
72,4601.43,,,,,,
73,9184.29,,,,,,
74,9278.98,,,,,,
75,7009.78,,,,,,
76,8488.77,,,,,,
77,9139.37,,,,,,
78,9287.17,,,,,,
79,4524.85,,,,,,
80,5053.31,,,,,,
81,9039.36,,,,,,
82,6882.79,,,,,,
83,5222.23,,,,,,
84,5072.65,,,,,,
85,9231.22,,,,,,
86,9439.13,,,,,,
87,8471.1,,,,,,
88,6276.46,,,,,,
89,9375.07,,,,,,
90,9290.45,,,,,,
91,6681.81,,,,,,
92,9626.5,,,,,,
93,9617.07,,,,,,
94,8260.6,,,,,,
95,7067.51,,,,,,
96,9417.22,,,,,,
97,4512.84,,,,,,
98,7318.66,,,,,,
99,9433.55,,,,,,
100,4954.6,,,,,,
101,8196.82,,,,,,
102,9298.48,,,,,,
103,7054.01,,,,,,
104,5116.82,,,,,,
105,7212.16,,,,,,
106,4773.7,,,,,,
107,9441.52,,,,,,
108,9455.3,,,,,,
109,5625.29,,,,,,
110,8970.13,,,,,,
111,9199.27,,,,,,
112,6030.95,,,,,,
113,4517.51,,,,,,
114,8959.37,,,,,,
115,4659.37,,,,,,
116,9370.99,,,,,,
117,4936.28,,,,,,
118,6761.38,,,,,,
119,7478.28,,,,,,
120,9298.85,,,,,,
121,6750.61,,,,,,
122,8310.28,,,,,,
123,8858.42,,,,,,
124,9516.33,,,,,,
125,9025.01,,,,,,
126,5278.79,,,,,,
127,6829.21,,,,,,
128,9376.04,,,,,,
129,7559.45,,,,,,
130,9565.21,,,,,,
131,9579.35,,,,,,
132,8800.98,,,,,,
133,4989.98,,,,,,
134,4658.28,,,,,,
135,5885.52,,,,,,
136,9539.83,,,,,,
137,5427.78,,,,,,
138,5458.56,,,,,,
139,8783.57,,,,,,
140,5233.89,,,,,,
141,9321.7,,,,,,
142,9082.84,,,,,,
143,7094.54,,,,,,
144,9285.97,,,,,,
145,6200.81,,,,,,
146,8911.51,,,,,,
147,9290.58,,,,,,
148,9316.35,,,,,,
149,8521.57,,,,,,
150,9414.44,,,,,,
151,9032.44,,,,,,
152,9593.76,,,,,,
153,8318.12,,,,,,
154,9452.73,,,,,,
155,9775.69,,,,,,
156,5278.62,,,,,,
157,9293.89,,,,,,
158,6754.24,,,,,,
159,9131.31,,,,,,
160,9474.54,,,,,,
161,8773.86,,,,,,
162,9119.71,,,,,,
163,8415.04,,,,,,
164,6098.72,,,,,,
165,4520.34,,,,,,
166,8653.87,,,,,,
167,9286.03,,,,,,
168,9684.52,,,,,,
169,4373.21,,,,,,
170,6410.97,,,,,,
171,9223.75,,,,,,
172,7329.31,,,,,,
173,8482.95,,,,,,
174,9391.83,,,,,,
175,6779.92,,,,,,
176,6775.5,,,,,,
177,9221.22,,,,,,
178,4914.36,,,,,,
179,6033.07,,,,,,
180,5272.01,,,,,,
181,8191.15,,,,,,
182,9297.24,,,,,,
183,7145.4,,,,,,
184,6875.74,,,,,,
185,9532.66,,,,,,
186,9123.02,,,,,,
187,8173.85,,,,,,
188,5210.87,,,,,,
189,9518.55,,,,,,
190,6523.57,,,,,,
191,6291.4,,,,,,
192,4609.04,,,,,,
193,6611.86,,,,,,
194,6251.81,,,,,,
195,5181.66,,,,,,
196,4997.95,,,,,,
197,5115.17,,,,,,
198,8416.66,,,,,,
199,6339.38,,,,,,
200,4691.76,,,,,,
201,6633.88,,,,,,
202,4293.12,,,,,,
203,5366.51,,,,,,
204,6917.98,,,,,,
205,9485.72,,,,,,
206,9102.63,,,,,,
207,6749.51,,,,,,
208,4678.73,,,,,,
209,4676.8,,,,,,
210,9524.19,,,,,,
211,6946.81,,,,,,
212,4986.43,,,,,,
213,7152.01,,,,,,
214,6568.49,,,,,,
215,9378.71,,,,,,
216,9056.64,,,,,,
217,9195.28,,,,,,
218,8916.51,,,,,,
219,9284.11,,,,,,
220,8932.23,,,,,,
221,9137.54,,,,,,
222,6015.35,,,,,,
223,4329.7,,,,,,
224,4474.82,,,,,,
225,9383.95,,,,,,
226,4538.65,,,,,,
227,9035.27,,,,,,
228,5936.5,,,,,,
229,6611.22,,,,,,
230,9016.7,,,,,,
231,6494.29,,,,,,
