x,Y
1,11372.34
2,7370.31
3,7215.61
4,7211.63
5,7149.27
6,7141.04
7,7128.94
8,7048.92
9,7031.84
10,7029.77
11,7011.78
12,7010.95
13,7010.13
14,7007.26
15,7002.9
16,7002.25
17,7001.41
18,6999.96
19,6995.52
20,6994.8
21,6994.35
22,6993.6
23,6991.61
24,6991.43
25,6991.02
26,6989.6
27,6988.43
28,6988.08
29,6987.82
30,6987.64
31,6984.58
32,6983.55
33,6983.32
34,6981.78
35,6980.22
36,6979.99
37,6979.42
38,6976.33
39,6975
40,6974.39
41,6972.4
42,6970.57
43,6969.21
44,6967.73
45,6967.2
46,6965.04
47,6965.02
48,6965.02
49,6964.47
50,6963.85
51,6962.09
52,6961.63
53,6959.16
54,6959.09
55,6958.98
56,6957.62
57,6957.48
58,6954.96
59,6954.66
60,6954.16
61,6954.11
62,6953.48
63,6953.48
64,6952.13
65,6951.62
66,6951.55
67,6951.08
68,6950.89
69,6950.63
70,6950.26
71,6949.66
72,6948.02
73,6946.96
74,6946.58
75,6946.58
76,6946.33
77,6946.31
78,6945.61
79,6945.03
80,6944.01
81,6943.8
82,6942.13
83,6941.81
84,6941.49
85,6941
86,6940.62
87,6940.51
88,6940.02
89,6939.72
90,6939.46
91,6938.68
92,6938.63
93,6938.59
94,6938.27
95,6936.55
96,6936.52
97,6936.06
98,6935.96
99,6935.78
100,6935.13
101,6934.44
102,6933.72
103,6933.62
104,6933.62
105,6933.61
106,6932.94
107,6932.76
108,6932.7
109,6931.68
110,6931.02
111,6931
112,6930.32
113,6929.83
114,6929.29
115,6928.31
116,6928.3
117,6928.18
118,6928.09
119,6928.08
120,6927.58
121,6927.19
122,6927.03
123,6927
124,6926.56
125,6926.2
126,6924.9
127,6924.87
128,6924.7
129,6924.62
130,6924.5
131,6924.35
132,6924.34
133,6924.2
134,6923.24
135,6923.22
136,6921.56
137,6920.68
138,6920.25
139,6919.41
140,6919.22
141,6918.55
142,6918.17
143,6917.48
144,6916.53
145,6916.4
146,6916.12
147,6915.42
148,6914.21
149,6914.11
150,6913.98
151,6913.38
152,6913.19
153,6913.04
154,6912.84
155,6911.16
156,6910.37
157,6910.25
158,6910.19
159,6909.87
160,6909.78
161,6909.39
162,6909.32
163,6909.22
164,6909.12
165,6909.07
166,6908.67
167,6908.6
168,6908.28
169,6908.12
170,6907.52
171,6907.14
172,6906.82
173,6906.65
174,6906.63
175,6906.58
176,6906.48
177,6906.41
178,6906.35
179,6905.97
180,6905.94
181,6905.67
182,6905.22
183,6905.16
184,6904.97
185,6904.92
186,6904.56
187,6904.41
188,6904.28
189,6904.13
190,6903.92
191,6903.43
192,6903.18
193,6903.15
194,6903.04
195,6902.88
196,6902.81
197,6902.13
198,6901.9
199,6901.78
200,6901.28
201,6901.14
202,6901.07
203,6900.89
204,6900.68
205,6899.35
206,6899.15
207,6898.39
208,6898.39
209,6897.67
210,6896.7
211,6896.66
212,6896.61
213,6895.69
214,6895.65
215,6895.13
216,6895.09
217,6894.74
218,6894.56
219,6893.06
220,6893.02
221,6892.98
222,6892.15
223,6892.08
224,6891.51
225,6891.13
226,6891.02
227,6890.68
228,6890.66
229,6890.55
230,6890.49
231,6890.39
232,6889.94
233,6889.56
234,6889.49
235,6889.44
236,6889.05
237,6888.92
238,6888.71
239,6888.67
240,6888.2
241,6888.08
242,6888.06
243,6887.99
244,6887.83
245,6887.69
246,6887.45
247,6887.32
248,6887.13
249,6886.97
250,6886.61
251,6886.11
252,6885.65
253,6885.6
254,6885.39
255,6885.19
256,6885.1
257,6884.99
258,6884.8
259,6884.74
260,6884.14
261,6884.1
262,6884.01
263,6883.84
264,6883.79
265,6883.55
266,6882.85
267,6882.73
268,6881.95
269,6881.77
270,6881.53
271,6881.12
272,6880.83
273,6880.81
274,6880.63
275,6879.45
276,6879.2
277,6878.47
278,6878.4
279,6878.06
280,6877.96
281,6877.75
282,6877.57
283,6877.37
284,6876.88
285,6876.41
286,6876.4
287,6876.22
288,6875.94
289,6875.91
290,6875.64
291,6875.43
292,6875.31
293,6875.23
294,6875.01
295,6874.63
296,6874.42
297,6873.77
298,6873.61
299,6873.41
300,6873.41
301,6873.24
302,6873.23
303,6872.94
304,6872.65
305,6872.53
306,6872.25
307,6872.24
308,6872.23
309,6872.2
310,6872
311,6871.99
312,6871.82
313,6871.68
314,6871.66
315,6871.65
316,6871.53
317,6871.24
318,6870.69
319,6870.68
320,6870.67
321,6870.45
322,6870.31
323,6870.16
324,6870.16
325,6869.25
326,6869.21
327,6869.16
328,6868.97
329,6868.83
330,6868.63
331,6868.23
332,6868.07
333,6867.92
334,6867.89
335,6867.41
336,6867.35
337,6867.34
338,6867.2
339,6867.11
340,6866.45
341,6866.17
342,6866.16
343,6866.03
344,6865.8
345,6865.75
346,6865.75
347,6865.46
348,6865.29
349,6865.02
350,6863.81
351,6863.36
352,6863.03
353,6861.73
354,6861.61
355,6861.58
356,6861.55
357,6861.5
358,6861.43
359,6861.09
360,6861.05
361,6860.98
362,6860.96
363,6859.46
364,6859.34
365,6859.28
366,6858.84
367,6858.78
368,6858.65
369,6858.1
370,6857.97
371,6857.85
372,6857.74
373,6857.62
374,6857.41
375,6857.39
376,6857.25
377,6856.45
378,6856.03
379,6855.91
380,6854.96
381,6854.93
382,6854.53
383,6853.55
384,6853.2
385,6852.71
386,6852.7
387,6852.49
388,6852.47
389,6852.15
390,6852.12
391,6851.3
392,6851.28
393,6851.17
394,6850.53
395,6850.51
396,6850.43
397,6850.42
398,6849.99
399,6849.99
400,6849.57
401,6849.13
402,6849.04
403,6849
404,6848.43
405,6848.17
406,6848.14
407,6848.14
408,6848.07
409,6847.62
410,6847.52
411,6847.36
412,6847.12
413,6846.84
414,6846.79
415,6846.76
416,6846.29
417,6846.14
418,6845.53
419,6845.49
420,6845.02
421,6844.71
422,6844.59
423,6844.55
424,6844.54
425,6844.08
426,6844.08
427,6843.8
428,6843.72
429,6843.56
430,6843.39
431,6843.2
432,6842.93
433,6842.92
434,6842.52
435,6842.29
436,6841.83
437,6841.48
438,6841.38
439,6841.02
440,6840.98
441,6839.93
442,6839.88
443,6839.7
444,6839.61
445,6839.56
446,6839
447,6838.93
448,6838.89
449,6837.98
450,6837.71
451,6837.55
452,6837.36
453,6837
454,6836.75
455,6836.64
456,6836.44
457,6836.27
458,6835.98
459,6835.98
460,6835.74
461,6835.69
462,6835.68
463,6835.59
464,6835.33
465,6835.09
466,6835.08
467,6835.03
468,6834.03
469,6833.8
470,6833.36
471,6833.15
472,6833.13
473,6832.82
474,6832.8
475,6832.47
476,6832.43
477,6832.41
